"project_id","placename","longitude","latitude","feature_type","line_of_sight_m","water_depth_m","elevation","elev_units","road_dist_m","water_dist_m","lcc_habitats","biomass_agb","mean_ndvi"
"AlgarRestorationProject","ALG027",-112.4735026,56.33279633,"HumanUse",252.9583333,0,528,"meters",16077.3566533205,7428.95427428401,"closed_forest_evergreen_needle",39.9005737,7707.5
"AlgarRestorationProject","ALG029",-112.548348,56.3947384,"HumanUse",206.5277778,0.384726342545522,510,"meters",15647.2862588547,6707.13885331938,"closed_forest_evergreen_needle",36.6053505,7699.75
"AlgarRestorationProject","ALG031",-112.4819778,56.30899115,"HumanUse",334.2777778,0,526,"meters",14617.5017135612,5872.54849390932,"closed_forest_evergreen_needle",15.6350002,7412
"AlgarRestorationProject","ALG032",-112.3967723,56.40196543,"HumanUse",83,0,510,"meters",20980.1663590238,9772.19270668937,"closed_forest_evergreen_needle",10.7441998,7184.75
"AlgarRestorationProject","ALG035",-112.4760892,56.38427981,"HumanUse",439.6111111,0,505,"meters",19146.0873700775,10020.3434734449,"closed_forest_evergreen_needle",22.3598251,7551.75
"AlgarRestorationProject","ALG036",-112.4057856,56.23177668,"NatRegen",62.69444444,0.0366730646080721,522,"meters",14084.646370193,2028.24702032331,"closed_forest_evergreen_needle",22.4248238,7939.25
"AlgarRestorationProject","ALG037",-112.4449259,56.27897671,"HumanUse",392.6111111,0,529,"meters",16278.0570538747,3125.91082306304,"shrubs",4.7027998,6776.25
"AlgarRestorationProject","ALG038",-112.4791766,56.27038626,"HumanUse",352.75,0,528,"meters",14133.3053340657,4415.77305447116,"open_forest_other",16.5414257,6946.75
"AlgarRestorationProject","ALG039",-112.4094357,56.30127467,"HumanUse",339.7638889,0,529,"meters",18760.9190230505,4029.75432855395,"closed_forest_evergreen_needle",11.2976494,6955.5
"AlgarRestorationProject","ALG043",-112.5842114,56.38715078,"NatRegen",62.41666667,0.883196930724489,509,"meters",13309.8938449172,4347.14628419655,"closed_forest_evergreen_needle",24.7180252,8036.75
"AlgarRestorationProject","ALG044",-112.6046929,56.47314996,"HumanUse",374.2638889,0.136919928269104,503,"meters",8166.53480858516,984.450489015819,"closed_forest_evergreen_needle",23.3237,7357.25
"AlgarRestorationProject","ALG045",-112.5018971,56.43667907,"HumanUse",294.8333333,0.0348081841131153,502,"meters",14618.750957855,8144.51060440316,"closed_forest_evergreen_needle",24.6429005,7390.75
